experiment_id,model,pretrained,dataset_version,seed,imgsz,batch,epochs,optimizer,learning_rate,augmentation,device,status,precision,recall,map50,map50_95,f1,parameters,model_size_mb,training_time_sec,inference_latency_ms,notes
EXP-001_baseline_yolov8n,yolov8n.pt,True,v1.0.0-sanitized,42,640,16,15,AdamW,0.001,"YOLOv8 default (mosaic=1.0, mixup=0.15)",CPU (AMD Ryzen 5 7520U),COMPLETED,0.8661,0.4824,0.6186,0.26,0.6197,3006623,5.94,740.0,93.13,Validation set model selection only; test set untouched.
EXP-002_imgsz512,yolov8n.pt,True,v1.0.0-sanitized,42,512,16,15,AdamW,0.001,"YOLOv8 default (mosaic=1.0, mixup=0.15)",CPU (AMD Ryzen 5 7520U),COMPLETED,0.7308,0.4,0.5752,0.2426,0.517,3006623,5.93,489.3,68.74,Validation set model selection only; test set untouched.
EXP-003_yolov8s,yolov8s.pt,True,v1.0.0-sanitized,42,640,16,15,AdamW,0.001,YOLOv8 default,CPU,NOT_RUN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11166560,22.5,NOT_AVAILABLE,NOT_AVAILABLE,"Hardware compute limitation: Host system operates in CPU-only mode (AMD Ryzen 5 7520U, CUDA unavailable). Estimated training time exceeds reasonable synchronous CPU compute envelope without GPU acceleration."
